         39231828 function calls (39227778 primitive calls) in 21.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    56125    0.026    0.000    0.026    0.000 scene.py:63(__getitem__)
    84889    0.026    0.000    0.026    0.000 sprite.py:537(add_spatial_hashes)
     4310    0.025    0.000    0.124    0.000 vertex_array.py:480(render)
       11    0.025    0.002    0.025    0.002 {built-in method PIL._imaging.fill}
   102342    0.025    0.000    0.025    0.000 sprite.py:709(change_y)
    47602    0.025    0.000    0.025    0.000 sprite.py:704(change_x)
      792    0.024    0.000    0.040    0.000 xlib.py:342(set_current)
   198755    0.024    0.000    0.024    0.000 {built-in method builtins.isinstance}
     1085    0.023    0.000    0.023    0.000 xlib.py:204(poll)
     4307    0.023    0.000    0.181    0.000 sprite_list.py:1090(_write_sprite_buffers_to_gpu)
      787    0.022    0.000    0.087    0.000 vertexdomain.py:439(draw)
    48323    0.021    0.000    0.051    0.000 sprite.py:801(texture)
     1085    0.020    0.000   18.984    0.017 clock.py:217(call_scheduled_functions)
     8625    0.020    0.000    0.056    0.000 program.py:265(__setitem__)
   100919    0.019    0.000    0.019    0.000 sprite.py:719(angle)
     4307    0.019    0.000    0.028    0.000 uniform.py:191(setter_func)
     7217    0.019    0.000    0.019    0.000 {method 'from_buffer' of '_ctypes.PyCArrayType' objects}
    40389    0.019    0.000    0.038    0.000 sprite.py:396(hit_box)
   122865    0.018    0.000    0.018    0.000 {built-in method builtins.hasattr}
     1576    0.018    0.000    0.025    0.000 vertexbuffer.py:203(set_data)
    40389    0.018    0.000    0.019    0.000 sprite.py:359(get_hit_box)
    50407    0.017    0.000    0.017    0.000 {built-in method builtins.sum}
        1    0.017    0.017    0.031    0.031 __init__.py:217(_create)
    14962    0.017    0.000    0.025    0.000 math.py:74(__new__)
      787    0.017    0.000    1.639    0.002 import arcade.py:218(on_draw)
     5095    0.017    0.000    0.032    0.000 context.py:374(enable)
    48323    0.017    0.000    0.020    0.000 texture.py:170(__eq__)
       55    0.015    0.000    0.015    0.000 {method 'paste' of 'ImagingCore' objects}
     1576    0.014    0.000    0.904    0.001 scene.py:246(update)
    47600    0.014    0.000    0.014    0.000 sprite.py:714(change_y)
     1574    0.014    0.000    0.016    0.000 math.py:888(__invert__)
      787    0.014    0.000    0.418    0.001 text_pyglet.py:538(draw_text)
      788    0.014    0.000    0.035    0.000 physics_engines.py:46(_move_sprite)
     1085    0.013    0.000    1.752    0.002 xlib.py:100(step)
     1576    0.013    0.000    0.021    0.000 shader.py:657(__enter__)
     4640    0.013    0.000    0.132    0.000 sprite_list.py:845(update_animation)
       11    0.013    0.001    0.013    0.001 program.py:473(link)
    53093    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
    53925    0.012    0.000    0.012    0.000 {built-in method builtins.iter}
    32004    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x908780}
      787    0.012    0.000    1.922    0.002 base.py:149(_redraw_windows)
     1279    0.012    0.000    0.614    0.000 spatial_hash.py:306(check_for_collision_with_list)
     5095    0.011    0.000    0.022    0.000 context.py:581(blend_func)
     3148    0.011    0.000    0.017    0.000 vertexattribute.py:88(set_pointer)
     1574    0.011    0.000    0.257    0.000 camera.py:186(use)
   146438    0.011    0.000    0.011    0.000 typing.py:1149(cast)
     1574    0.011    0.000    0.111    0.000 context.py:269(pyglet_rendering)
    11028    0.010    0.000    0.015    0.000 math.py:718(__new__)
        1    0.010    0.010    0.022    0.022 fontconfig.py:169(_load_fontconfig_library)
      789    0.009    0.000    0.025    0.000 camera.py:24(__init__)
     7956    0.009    0.000    0.013    0.000 application.py:497(get_size)
      787    0.009    0.000    0.028    0.000 layout.py:654(set_state)
    47374    0.009    0.000    0.009    0.000 sprite.py:591(width)
      225    0.009    0.000    0.024    0.000 xlib.py:187(select)
     1085    0.009    0.000    0.012    0.000 clock.py:192(update_time)
     3319    0.009    0.000   18.699    0.006 __init__.py:1327(dispatch_event)
      787    0.008    0.000    0.377    0.000 texture.py:246(draw_sized)
      788    0.008    0.000    0.008    0.000 {built-in method builtins.round}
      564    0.008    0.000    0.283    0.001 texture.py:392(load_texture)
     1574    0.008    0.000    0.094    0.000 application.py:205(clear)
     5101    0.008    0.000    0.010    0.000 program.py:278(use)
     3145    0.008    0.000    0.008    0.000 {built-in method math.atan2}
     6815    0.008    0.000    0.010    0.000 sprite_list.py:254(__len__)
    47374    0.008    0.000    0.008    0.000 sprite.py:615(height)
        1    0.007    0.007   20.776   20.776 base.py:158(run)
      788    0.007    0.000    0.038    0.000 __init__.py:951(projection)
     3083    0.007    0.000    0.010    0.000 sprite.py:670(center_x)
     2364    0.007    0.000    0.008    0.000 contextlib.py:82(__init__)
     3936    0.007    0.000    0.014    0.000 vertexbuffer.py:197(bind)
     1085    0.006    0.000   19.007    0.018 base.py:219(idle)
     1579    0.006    0.000    0.016    0.000 _weakrefset.py:58(__iter__)
     4307    0.006    0.000    0.008    0.000 math.py:619(__new__)
      787    0.006    0.000    0.468    0.001 scene.py:305(draw)
      793    0.006    0.000    0.008    0.000 gl_info.py:84(set_active_context)
       11    0.006    0.001    0.146    0.013 texture_atlas.py:365(write_image)
       23    0.006    0.000    0.006    0.000 __init__.py:838(blit_to_texture)
      787    0.006    0.000    0.259    0.000 text_pyglet.py:83(_draw_label_with_rotation)
      792    0.006    0.000    0.017    0.000 base.py:291(set_current)
     2364    0.006    0.000    0.049    0.000 contextlib.py:117(__exit__)
     3148    0.005    0.000    0.017    0.000 vertexbuffer.py:273(bind)
        2    0.005    0.003    0.006    0.003 __init__.py:1293(create)
     7865    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
     1574    0.005    0.000    0.046    0.000 context.py:261(projection_2d_matrix)
     4310    0.005    0.000    0.007    0.000 vertex_array.py:470(instance)
     3935    0.005    0.000    0.012    0.000 vertexbuffer.py:200(unbind)
     3150    0.005    0.000    0.018    0.000 __init__.py:1081(get_pixel_ratio)
      787    0.005    0.000    0.183    0.000 texture.py:234(_create_cached_sprite)
      787    0.005    0.000    0.006    0.000 shader.py:145(setter_func)
     1086    0.005    0.000    0.009    0.000 base.py:250(has_exit)
     1574    0.005    0.000    0.009    0.000 math.py:196(lerp)
    25860    0.004    0.000    0.004    0.000 program.py:207(geometry_input)
      787    0.004    0.000    0.191    0.000 __init__.py:528(flip)
     1223    0.004    0.000    0.004    0.000 sprite_list.py:1062(update_angle)
     3148    0.004    0.000    0.010    0.000 vertexattribute.py:84(enable)
      788    0.004    0.000    0.007    0.000 buffer.py:220(bind_to_uniform_block)
        5    0.004    0.001    0.004    0.001 shader.py:186(__init__)
     4307    0.004    0.000    0.032    0.000 texture_atlas.py:569(use_uv_texture)
      243    0.004    0.000    0.022    0.000 import arcade.py:25(__init__)
5060/5021    0.004    0.000    0.126    0.000 {built-in method builtins.next}
      787    0.004    0.000    0.010    0.000 layout.py:664(unset_state)
     4420    0.004    0.000    0.007    0.000 sprite.py:687(center_y)
     1574    0.004    0.000    0.007    0.000 math.py:832(scale)
     5234    0.004    0.000    0.008    0.000 __init__.py:1424(debug)
     4722    0.004    0.000    0.009    0.000 math.py:127(__add__)
      790    0.004    0.000    0.006    0.000 _weakrefset.py:26(__exit__)
      788    0.004    0.000    0.012    0.000 import arcade.py:510(center_camera_to_player)
     1571    0.004    0.000    0.018    0.000 sprite.py:745(radians)
     5257    0.004    0.000    0.004    0.000 __init__.py:1689(isEnabledFor)
        2    0.004    0.002    0.004    0.002 xlib.py:361(destroy)
      787    0.004    0.000    0.198    0.000 application.py:653(flip)
        1    0.004    0.004    0.004    0.004 {built-in method posix.read}
      796    0.004    0.000    0.006    0.000 math.py:736(orthogonal_projection)
        4    0.004    0.001    0.004    0.001 fontconfig.py:332(_get_match)
      787    0.004    0.000    0.004    0.000 sprite_list.py:990(update_color)
    10541    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
      245    0.004    0.000    0.194    0.001 sprite_list.py:595(append)
      790    0.004    0.000    0.033    0.000 __init__.py:524(switch_to)
      788    0.004    0.000    0.021    0.000 __init__.py:971(view)
       11    0.004    0.000    0.150    0.014 texture_atlas.py:354(write_texture)
     7956    0.004    0.000    0.004    0.000 __init__.py:1098(get_size)
      245    0.004    0.000    0.004    0.000 sprite.py:162(__init__)
     3154    0.003    0.000    0.010    0.000 framebuffer.py:301(activate)
      790    0.003    0.000    0.036    0.000 application.py:675(switch_to)
     1095    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.RLock' objects}
      245    0.003    0.000    0.187    0.001 sprite_list.py:896(_update_all)
      117    0.003    0.000    0.004    0.000 vertexattribute.py:127(set_region)
     2364    0.003    0.000    0.011    0.000 contextlib.py:238(helper)
     4724    0.003    0.000    0.003    0.000 context.py:258(window)
      787    0.003    0.000    0.005    0.000 shader.py:317(use)
      789    0.003    0.000    0.009    0.000 camera.py:117(set_projection)
      788    0.003    0.000    0.007    0.000 camera.py:156(move_to)
     2364    0.003    0.000    0.086    0.000 contextlib.py:108(__enter__)
      787    0.003    0.000    0.130    0.000 __init__.py:503(draw)
       63    0.003    0.000    0.004    0.000 __init__.py:1008(_event_text_symbol)
     3942    0.003    0.000    0.009    0.000 __init__.py:911(width)
        1    0.003    0.003    0.003    0.003 {built-in method _posixsubprocess.fork_exec}
     3158    0.003    0.000    0.007    0.000 framebuffer.py:315(use)
     1085    0.003    0.000    0.005    0.000 clock.py:338(get_sleep_time)
       92    0.003    0.000    0.004    0.000 buffer.py:35(__init__)
      788    0.003    0.000    0.136    0.000 scene.py:284(update_animation)
      787    0.003    0.000    0.380    0.000 draw_commands.py:985(draw_lrwh_rectangle_textured)
     3158    0.003    0.000    0.004    0.000 framebuffer.py:324(_use)
     5095    0.003    0.000    0.003    0.000 {method 'update' of 'set' objects}
      787    0.003    0.000    0.008    0.000 framebuffer.py:561(_get_viewport)
     1575    0.003    0.000    0.004    0.000 {built-in method _heapq.heappushpop}
        4    0.003    0.001    0.003    0.001 fontconfig.py:325(_substitute_defaults)
     3151    0.003    0.000    0.009    0.000 __init__.py:1108(get_framebuffer_size)
      788    0.003    0.000    0.011    0.000 import arcade.py:146(update_animation)
     8614    0.003    0.000    0.003    0.000 texture_atlas.py:254(texture)
     1085    0.003    0.000    0.003    0.000 xlib.py:86(poll)
  982/979    0.003    0.000    0.186    0.000 texture_atlas.py:277(add)
      788    0.003    0.000   17.035    0.022 application.py:314(_dispatch_updates)
      787    0.003    0.000    0.004    0.000 __init__.py:279(text)
     1574    0.003    0.000    0.005    0.000 math.py:782(from_translation)
     3148    0.002    0.000    0.003    0.000 geometry_generic.py:5(get_distance)
     1576    0.002    0.000    0.027    0.000 shader.py:663(__exit__)
      787    0.002    0.000    0.006    0.000 sprite.py:888(alpha)
      272    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
     4321    0.002    0.000    0.011    0.000 sprite_list.py:195(_init_deferred)
     1574    0.002    0.000    0.047    0.000 context.py:508(viewport)
      787    0.002    0.000    0.132    0.000 layout.py:1237(draw)
     7101    0.002    0.000    0.002    0.000 application.py:196(ctx)
      788    0.002    0.000    0.037    0.000 physics_engines.py:238(update)
     6316    0.002    0.000    0.002    0.000 framebuffer.py:209(ctx)
      658    0.002    0.000    0.004    0.000 texture.py:185(width)
      158    0.002    0.000    0.022    0.000 import arcade.py:89(__init__)
      787    0.002    0.000    0.008    0.000 shader.py:338(__setitem__)
     6013    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
       17    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
      413    0.002    0.000    0.004    0.000 sprite_list.py:945(update_texture)
       50    0.002    0.000    0.002    0.000 freetype_lib.py:510(_error_handling)
       39    0.002    0.000    0.070    0.002 layout.py:325(place)
     1574    0.002    0.000    0.003    0.000 math.py:317(__new__)
        1    0.002    0.002    0.004    0.004 texture_atlas.py:132(__init__)
      790    0.002    0.000    0.002    0.000 _weakrefset.py:20(__enter__)
     1815    0.002    0.000    0.003    0.000 spatial_hash.py:356(check_for_collision_with_lists)
        3    0.002    0.001    0.002    0.001 shader.py:306(_link_program)
     4310    0.002    0.000    0.002    0.000 program.py:228(geometry_vertices)
      787    0.002    0.000    0.025    0.000 window_commands.py:333(start_render)
     4349    0.002    0.000    0.002    0.000 buffer.py:95(glo)
     2178    0.002    0.000    0.002    0.000 {built-in method time.perf_counter}
     1574    0.002    0.000    0.002    0.000 {built-in method math.sin}
      179    0.002    0.000    0.002    0.000 __init__.py:47(create_string_buffer)
      787    0.002    0.000    0.003    0.000 shader.py:320(stop)
      405    0.002    0.000    0.002    0.000 {built-in method posix.readlink}
     4307    0.002    0.000    0.002    0.000 sprite_list.py:372(atlas)
      787    0.002    0.000    0.003    0.000 vertexarray.py:57(bind)
       50    0.001    0.000    0.002    0.000 context.py:1203(get)
     4416    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      793    0.001    0.000    0.003    0.000 __init__.py:355(__setattr__)
       27    0.001    0.000    0.003    0.000 import arcade.py:523(shoot_bullet_from_arm)
     2499    0.001    0.000    0.001    0.000 clock.py:143(__lt__)
      923    0.001    0.000    0.001    0.000 {built-in method _heapq.heappop}
     3182    0.001    0.000    0.001    0.000 window_commands.py:99(get_window)
     1574    0.001    0.000    0.003    0.000 math.py:133(__mul__)
        6    0.001    0.000    0.001    0.000 glx_info.py:116(get_client_version)
      578    0.001    0.000    0.001    0.000 __init__.py:506(cast)
      790    0.001    0.000    0.001    0.000 _weakrefset.py:16(__init__)
      807    0.001    0.000    0.002    0.000 __init__.py:341(__getattr__)
      787    0.001    0.000    0.002    0.000 __init__.py:291(color)
      828    0.001    0.000    0.002    0.000 Image.py:521(width)
     3158    0.001    0.000    0.001    0.000 __init__.py:902(context)
      787    0.001    0.000    0.001    0.000 drawing_support.py:44(get_four_byte_color)
     1095    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.001    0.001    0.001    0.001 xlib.py:380(_create_glx_context)
       39    0.001    0.000    0.002    0.000 {built-in method io.open}
      790    0.001    0.000    0.001    0.000 _weakrefset.py:52(_commit_removals)
     1576    0.001    0.000    0.001    0.000 context.py:267(screen)
    12143    0.001    0.000    0.001    0.000 import arcade.py:344(<lambda>)
        1    0.001    0.001    0.001    0.001 {method 'search' of 're.Pattern' objects}
      302    0.001    0.000    0.001    0.000 fontconfig.py:253(_get_value)
      116    0.001    0.000    0.002    0.000 pathlib.py:64(parse_parts)
      787    0.001    0.000    0.001    0.000 __init__.py:1430(_sync_resize)
      982    0.001    0.000    0.001    0.000 texture_atlas.py:450(has_texture)
       97    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      158    0.001    0.000    0.001    0.000 random.py:250(_randbelow_with_getrandbits)
      244    0.001    0.000    0.021    0.000 scene.py:77(add_sprite)
      139    0.001    0.000    0.002    0.000 sprite.py:1055(remove_from_sprite_lists)
      156    0.001    0.000    0.001    0.000 runlist.py:408(ranges)
       14    0.001    0.000    0.010    0.001 sprite_list.py:101(__init__)
     28/6    0.001    0.000    0.002    0.000 sre_parse.py:493(_parse)
     3148    0.001    0.000    0.001    0.000 {built-in method math.hypot}
       78    0.001    0.000    0.005    0.000 layout.py:1659(_flow_glyphs_single_line)
     1208    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
      787    0.001    0.000    0.001    0.000 allocation.py:338(get_allocated_regions)
      244    0.001    0.000    0.001    0.000 sprite.py:644(scale)
      245    0.001    0.000    0.001    0.000 sprite_list.py:504(_next_slot)
     1793    0.001    0.000    0.001    0.000 Image.py:529(size)
     1574    0.001    0.000    0.001    0.000 {built-in method math.cos}
      787    0.001    0.000    0.001    0.000 context.py:298(gc)
      997    0.001    0.000    0.001    0.000 xlib.py:74(fileno)
     1574    0.001    0.000    0.001    0.000 application.py:221(background_color)
        1    0.001    0.001    0.011    0.011 util.py:270(_findSoname_ldconfig)
       39    0.001    0.000    0.065    0.002 shader.py:507(vertex_list_indexed)
       29    0.001    0.000    0.002    0.000 program.py:438(compile_shader)
       47    0.001    0.000    0.003    0.000 pathlib.py:321(_resolve)
      863    0.001    0.000    0.002    0.000 __init__.py:923(height)
     1690    0.001    0.000    0.001    0.000 layout.py:913(document)
      925    0.001    0.000    0.001    0.000 {built-in method _heapq.heappush}
       63    0.001    0.000    0.008    0.000 __init__.py:1081(_event_key_view)
        4    0.001    0.000    0.001    0.000 __init__.py:846(_set_text_property)
      787    0.001    0.000    0.001    0.000 document.py:592(get_style)
     1811    0.001    0.000    0.001    0.000 shader.py:280(id)
      198    0.001    0.000    0.001    0.000 weakref.py:66(__call__)
      158    0.001    0.000    0.002    0.000 random.py:200(randrange)
       11    0.001    0.000    0.019    0.002 program.py:68(__init__)
     5677    0.001    0.000    0.001    0.000 {built-in method _ctypes.byref}
      139    0.001    0.000    0.001    0.000 sprite_list.py:647(remove)
     1578    0.001    0.000    0.001    0.000 framebuffer.py:263(depth_attachment)
      158    0.001    0.000    0.017    0.000 import arcade.py:62(__init__)
      158    0.001    0.000    0.002    0.000 import arcade.py:40(load_texture_pair_old)
        1    0.001    0.001    0.001    0.001 xlib.py:114(__init__)
      452    0.001    0.000    0.002    0.000 gl_info.py:98(<genexpr>)
       39    0.001    0.000    0.055    0.001 vertexdomain.py:431(set_index_region)
     1371    0.001    0.000    0.001    0.000 document.py:279(text)
       17    0.001    0.000    0.228    0.013 ImageFile.py:145(load)
      117    0.001    0.000    0.001    0.000 vertexbuffer.py:291(set_data_region)
      297    0.001    0.000    0.002    0.000 base.py:65(grapheme_break)
      787    0.001    0.000    0.001    0.000 __init__.py:811(draw_mouse_cursor)
       76    0.001    0.000    0.001    0.000 types.py:205(__init__)
       75    0.001    0.000    0.132    0.002 layout.py:1259(_update)
      822    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
      954    0.001    0.000    0.001    0.000 buffer.py:77(size)
       11    0.001    0.000    0.001    0.000 vertexbuffer.py:180(__init__)
      658    0.001    0.000    0.001    0.000 texture.py:195(height)
       39    0.001    0.000    0.002    0.000 __init__.py:386(get_domain)
     8193    0.001    0.000    0.001    0.000 texture_atlas.py:168(<genexpr>)
     1085    0.001    0.000    0.001    0.000 threading.py:513(is_set)
       32    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      997    0.001    0.000    0.001    0.000 xlib.py:184(fileno)
       11    0.001    0.000    0.071    0.006 Image.py:694(tobytes)
     1576    0.001    0.000    0.001    0.000 context.py:276(fbo)
       11    0.001    0.000    0.001    0.000 program.py:314(_introspect_attributes)
       65    0.001    0.000    0.002    0.000 __init__.py:1157(_event_motionnotify_view)
       17    0.001    0.000    0.001    0.000 {built-in method io.open_code}
     1084    0.001    0.000    0.001    0.000 {method 'appendleft' of 'collections.deque' objects}
      671    0.001    0.000    0.004    0.000 re.py:289(_compile)
       39    0.001    0.000    0.053    0.001 layout.py:1398(_get_glyphs)
      300    0.001    0.000    0.002    0.000 fontconfig.py:265(_get_string)
     5879    0.001    0.000    0.001    0.000 import arcade.py:337(<lambda>)
       78    0.001    0.000    0.034    0.000 __init__.py:86(load)
      787    0.001    0.000    0.001    0.000 sprite.py:620(height)
       39    0.000    0.000    0.001    0.000 layout.py:1699(_flow_lines)
      351    0.000    0.000    0.001    0.000 document.py:588(get_style_runs)
      968    0.000    0.000    0.000    0.000 texture_atlas.py:442(get_texture_id)
     1026    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
     1143    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      158    0.000    0.000    0.002    0.000 random.py:244(randint)
      769    0.000    0.000    0.001    0.000 util.py:61(asstr)
      787    0.000    0.000    0.000    0.000 layout.py:960(x)
      239    0.000    0.000    0.000    0.000 {built-in method math.copysign}
      827    0.000    0.000    0.001    0.000 Image.py:525(height)
      297    0.000    0.000    0.001    0.000 base.py:59(<lambda>)
       40    0.000    0.000    0.008    0.000 __init__.py:12(resolve_resource_path)
      116    0.000    0.000    0.002    0.000 pathlib.py:658(_parse_args)
     2155    0.000    0.000    0.000    0.000 sprite.py:1045(update_animation)
      312    0.000    0.000    0.056    0.000 vertexdomain.py:349(__setattr__)
       12    0.000    0.000    0.000    0.000 vertexbuffer.py:308(resize)
      128    0.000    0.000    0.010    0.000 __init__.py:970(dispatch_platform_event_view)
       39    0.000    0.000    0.060    0.002 layout.py:1249(_get_lines)
       29    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      676    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       29    0.000    0.000    0.003    0.000 pathlib.py:1232(read_text)
     50/6    0.000    0.000    0.001    0.000 sre_compile.py:71(_compile)
      787    0.000    0.000    0.000    0.000 layout.py:986(y)
      479    0.000    0.000    0.000    0.000 Image.py:788(load)
      827    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       19    0.000    0.000    0.003    0.000 glsl.py:105(_parse_out_attributes)
      148    0.000    0.000    0.001    0.000 freetype.py:148(contains)
       47    0.000    0.000    0.001    0.000 posixpath.py:334(normpath)
      148    0.000    0.000    0.008    0.000 freetype.py:208(have_font)
       11    0.000    0.000    0.032    0.003 context.py:296(load_program)
      374    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       41    0.000    0.000    0.001    0.000 texture_atlas.py:308(allocate)
       78    0.000    0.000    0.035    0.000 document.py:608(get_font)
        8    0.000    0.000    0.001    0.000 vertex_array.py:131(_build)
     1316    0.000    0.000    0.000    0.000 sprite.py:639(scale)
       39    0.000    0.000    0.019    0.000 base.py:362(get_glyphs)
      148    0.000    0.000    0.007    0.000 fontconfig.py:140(have_font)
       25    0.000    0.000    0.000    0.000 uniform.py:124(_setup_getters_and_setters)
      788    0.000    0.000    0.000    0.000 application.py:296(update)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      905    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      590    0.000    0.000    0.003    0.000 re.py:188(match)
      120    0.000    0.000    0.001    0.000 sprite_list.py:1219(_grow_sprite_buffers)
        8    0.000    0.000    0.029    0.004 texture.py:93(__init__)
       11    0.000    0.000    0.001    0.000 program.py:359(_introspect_uniforms)
       30    0.000    0.000    0.000    0.000 {built-in method posix.open}
      117    0.000    0.000    0.004    0.000 vertexdomain.py:332(set_attribute_data)
      670    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      787    0.000    0.000    0.000    0.000 sprite.py:596(width)
        1    0.000    0.000    0.001    0.001 hitbox.py:12(calculate_hit_box_points_simple)
        1    0.000    0.000    0.012    0.012 xlib.py:332(attach)
        1    0.000    0.000    0.065    0.065 __init__.py:154(__init__)
      904    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       78    0.000    0.000    0.035    0.000 document.py:604(get_font_runs)
        8    0.000    0.000    0.001    0.000 PngImagePlugin.py:673(_open)
      286    0.000    0.000    0.001    0.000 Image.py:1398(getpixel)
      156    0.000    0.000    0.000    0.000 pathlib.py:718(__str__)
       39    0.000    0.000    0.002    0.000 base.py:106(get_grapheme_clusters)
       17    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:914(get_code)
       23    0.000    0.000    0.014    0.001 freetype.py:114(_create_glyph)
       47    0.000    0.000    0.005    0.000 pathlib.py:1173(resolve)
       60    0.000    0.000    0.000    0.000 import arcade.py:547(process_keychange)
       44    0.000    0.000    0.000    0.000 {method 'crop' of 'ImagingCore' objects}
      279    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 framebuffer.py:61(__init__)
      449    0.000    0.000    0.000    0.000 pathlib.py:293(splitroot)
       23    0.000    0.000    0.007    0.000 __init__.py:1398(blit_into)
      968    0.000    0.000    0.000    0.000 texture_atlas.py:434(get_region_info)
      245    0.000    0.000    0.000    0.000 sprite_list.py:1256(_grow_index_buffer)
